model,layer,language,token_count,vocab_percentage,avg_similarity,match_rate_pct,match_count,total_sampled
meta-llama/Llama-3.1-8B-Instruct,0,english,46290,36.09,0.017532,71.12,32921,46290
meta-llama/Llama-3.1-8B-Instruct,0,spanish,27457,21.41,0.016395,1.6,439,27457
meta-llama/Llama-3.1-8B-Instruct,0,chinese,18525,14.44,0.014893,3.87,716,18525
meta-llama/Llama-3.1-8B-Instruct,0,french,21393,16.68,0.015138,0.74,158,21393
meta-llama/Llama-3.1-8B-Instruct,0,german,14591,11.38,0.014644,0.12,18,14591
meta-llama/Llama-3.1-8B-Instruct,1,english,45958,35.83,0.022442,67.67,31099,45958
meta-llama/Llama-3.1-8B-Instruct,1,spanish,12628,9.85,0.017942,0.66,83,12628
meta-llama/Llama-3.1-8B-Instruct,1,chinese,15600,12.16,0.019521,3.42,533,15600
meta-llama/Llama-3.1-8B-Instruct,1,french,21207,16.53,0.019238,0.81,171,21207
meta-llama/Llama-3.1-8B-Instruct,1,german,32863,25.62,0.021437,0.2,67,32863
meta-llama/Llama-3.1-8B-Instruct,2,english,50343,39.25,0.024286,67.94,34201,50343
meta-llama/Llama-3.1-8B-Instruct,2,spanish,11158,8.7,0.017996,0.84,94,11158
meta-llama/Llama-3.1-8B-Instruct,2,chinese,13081,10.2,0.020006,2.97,388,13081
meta-llama/Llama-3.1-8B-Instruct,2,french,34491,26.89,0.021914,0.83,286,34491
meta-llama/Llama-3.1-8B-Instruct,2,german,19183,14.96,0.019759,0.19,37,19183
meta-llama/Llama-3.1-8B-Instruct,3,english,42422,33.08,0.022921,67.66,28702,42422
meta-llama/Llama-3.1-8B-Instruct,3,spanish,16049,12.51,0.018618,1.05,168,16049
meta-llama/Llama-3.1-8B-Instruct,3,chinese,20702,16.14,0.02095,3.43,710,20702
meta-llama/Llama-3.1-8B-Instruct,3,french,28226,22.01,0.020381,0.75,213,28226
meta-llama/Llama-3.1-8B-Instruct,3,german,20857,16.26,0.019525,0.1,21,20857
meta-llama/Llama-3.1-8B-Instruct,4,english,19654,15.32,0.019343,78.56,15440,19654
meta-llama/Llama-3.1-8B-Instruct,4,spanish,14212,11.08,0.018048,0.87,124,14212
meta-llama/Llama-3.1-8B-Instruct,4,chinese,49944,38.94,0.023573,4.1,2049,49944
meta-llama/Llama-3.1-8B-Instruct,4,french,19592,15.28,0.018652,0.7,137,19592
meta-llama/Llama-3.1-8B-Instruct,4,german,24854,19.38,0.019957,0.2,49,24854
meta-llama/Llama-3.1-8B-Instruct,5,english,44368,34.59,0.024945,68.36,30328,44368
meta-llama/Llama-3.1-8B-Instruct,5,spanish,14969,11.67,0.01966,1.02,152,14969
meta-llama/Llama-3.1-8B-Instruct,5,chinese,23633,18.43,0.022579,3.16,747,23633
meta-llama/Llama-3.1-8B-Instruct,5,french,22608,17.63,0.020594,0.7,158,22608
meta-llama/Llama-3.1-8B-Instruct,5,german,22678,17.68,0.021566,0.15,34,22678
meta-llama/Llama-3.1-8B-Instruct,6,english,18417,14.36,0.018282,74.91,13796,18417
meta-llama/Llama-3.1-8B-Instruct,6,spanish,29934,23.34,0.017824,1.55,463,29934
meta-llama/Llama-3.1-8B-Instruct,6,chinese,26219,20.44,0.018638,3.22,844,26219
meta-llama/Llama-3.1-8B-Instruct,6,french,32267,25.16,0.017803,0.99,318,32267
meta-llama/Llama-3.1-8B-Instruct,6,german,21419,16.7,0.017061,0.17,36,21419
meta-llama/Llama-3.1-8B-Instruct,7,english,28909,22.54,0.020688,73.53,21258,28909
meta-llama/Llama-3.1-8B-Instruct,7,spanish,23950,18.67,0.018983,1.44,345,23950
meta-llama/Llama-3.1-8B-Instruct,7,chinese,23653,18.44,0.02048,3.14,743,23653
meta-llama/Llama-3.1-8B-Instruct,7,french,24109,18.8,0.019042,0.71,170,24109
meta-llama/Llama-3.1-8B-Instruct,7,german,27635,21.55,0.019667,0.21,57,27635
meta-llama/Llama-3.1-8B-Instruct,8,english,20141,15.7,0.018748,75.2,15146,20141
meta-llama/Llama-3.1-8B-Instruct,8,spanish,24315,18.96,0.017958,1.37,334,24315
meta-llama/Llama-3.1-8B-Instruct,8,chinese,28638,22.33,0.019795,3.55,1018,28638
meta-llama/Llama-3.1-8B-Instruct,8,french,27508,21.45,0.018703,0.8,220,27508
meta-llama/Llama-3.1-8B-Instruct,8,german,27654,21.56,0.018856,0.24,65,27654
meta-llama/Llama-3.1-8B-Instruct,9,english,37463,29.21,0.021811,68.66,25721,37463
meta-llama/Llama-3.1-8B-Instruct,9,spanish,19586,15.27,0.01864,1.24,243,19586
meta-llama/Llama-3.1-8B-Instruct,9,chinese,31653,24.68,0.020964,3.32,1051,31653
meta-llama/Llama-3.1-8B-Instruct,9,french,19846,15.47,0.018643,0.49,97,19846
meta-llama/Llama-3.1-8B-Instruct,9,german,19708,15.37,0.018823,0.2,39,19708
meta-llama/Llama-3.1-8B-Instruct,10,english,20142,15.7,0.018932,75.84,15276,20142
meta-llama/Llama-3.1-8B-Instruct,10,spanish,15864,12.37,0.017467,0.92,146,15864
meta-llama/Llama-3.1-8B-Instruct,10,chinese,31482,24.55,0.020531,3.26,1026,31482
meta-llama/Llama-3.1-8B-Instruct,10,french,30613,23.87,0.01929,0.61,187,30613
meta-llama/Llama-3.1-8B-Instruct,10,german,30155,23.51,0.019686,0.28,85,30155
meta-llama/Llama-3.1-8B-Instruct,11,english,31106,24.25,0.02244,70.56,21949,31106
meta-llama/Llama-3.1-8B-Instruct,11,spanish,13617,10.62,0.018433,0.88,120,13617
meta-llama/Llama-3.1-8B-Instruct,11,chinese,32306,25.19,0.022794,3.27,1058,32306
meta-llama/Llama-3.1-8B-Instruct,11,french,27487,21.43,0.020822,0.59,162,27487
meta-llama/Llama-3.1-8B-Instruct,11,german,23740,18.51,0.020663,0.28,67,23740
meta-llama/Llama-3.1-8B-Instruct,12,english,36070,28.12,0.019724,71.26,25704,36070
meta-llama/Llama-3.1-8B-Instruct,12,spanish,21594,16.84,0.017721,1.3,281,21594
meta-llama/Llama-3.1-8B-Instruct,12,chinese,25474,19.86,0.018548,3.09,788,25474
meta-llama/Llama-3.1-8B-Instruct,12,french,22643,17.65,0.017954,0.61,137,22643
meta-llama/Llama-3.1-8B-Instruct,12,german,22475,17.52,0.018217,0.22,49,22475
meta-llama/Llama-3.1-8B-Instruct,13,english,23495,18.32,0.019826,72.87,17120,23495
meta-llama/Llama-3.1-8B-Instruct,13,spanish,20711,16.15,0.018906,1.29,267,20711
meta-llama/Llama-3.1-8B-Instruct,13,chinese,23956,18.68,0.020331,2.87,687,23956
meta-llama/Llama-3.1-8B-Instruct,13,french,28582,22.29,0.020105,0.73,210,28582
meta-llama/Llama-3.1-8B-Instruct,13,german,31512,24.57,0.020397,0.25,79,31512
meta-llama/Llama-3.1-8B-Instruct,14,english,26877,20.96,0.019556,72.15,19392,26877
meta-llama/Llama-3.1-8B-Instruct,14,spanish,24044,18.75,0.017565,1.4,336,24044
meta-llama/Llama-3.1-8B-Instruct,14,chinese,22009,17.16,0.018659,2.53,556,22009
meta-llama/Llama-3.1-8B-Instruct,14,french,25342,19.76,0.017857,0.67,169,25342
meta-llama/Llama-3.1-8B-Instruct,14,german,29984,23.38,0.01858,0.29,87,29984
meta-llama/Llama-3.1-8B-Instruct,15,english,24202,18.87,0.019686,74.03,17916,24202
meta-llama/Llama-3.1-8B-Instruct,15,spanish,17689,13.79,0.01786,1.44,255,17689
meta-llama/Llama-3.1-8B-Instruct,15,chinese,19846,15.47,0.019121,2.62,520,19846
meta-llama/Llama-3.1-8B-Instruct,15,french,33796,26.35,0.019658,0.78,262,33796
meta-llama/Llama-3.1-8B-Instruct,15,german,32723,25.51,0.019913,0.34,110,32723
meta-llama/Llama-3.1-8B-Instruct,16,english,32307,25.19,0.021649,69.81,22554,32307
meta-llama/Llama-3.1-8B-Instruct,16,spanish,21451,16.73,0.019073,1.14,244,21451
meta-llama/Llama-3.1-8B-Instruct,16,chinese,16285,12.7,0.018975,2.44,398,16285
meta-llama/Llama-3.1-8B-Instruct,16,french,28925,22.55,0.020101,0.71,205,28925
meta-llama/Llama-3.1-8B-Instruct,16,german,29288,22.84,0.020201,0.31,91,29288
meta-llama/Llama-3.1-8B-Instruct,17,english,27711,21.61,0.018932,69.61,19290,27711
meta-llama/Llama-3.1-8B-Instruct,17,spanish,35233,27.47,0.018965,1.54,544,35233
meta-llama/Llama-3.1-8B-Instruct,17,chinese,16621,12.96,0.017905,2.17,361,16621
meta-llama/Llama-3.1-8B-Instruct,17,french,24429,19.05,0.018294,0.89,217,24429
meta-llama/Llama-3.1-8B-Instruct,17,german,24262,18.92,0.017959,0.33,80,24262
meta-llama/Llama-3.1-8B-Instruct,18,english,31031,24.19,0.02168,70.97,22022,31031
meta-llama/Llama-3.1-8B-Instruct,18,spanish,31945,24.91,0.020844,1.6,511,31945
meta-llama/Llama-3.1-8B-Instruct,18,chinese,13322,10.39,0.018816,2.16,288,13322
meta-llama/Llama-3.1-8B-Instruct,18,french,32041,24.98,0.021348,1.1,353,32041
meta-llama/Llama-3.1-8B-Instruct,18,german,19917,15.53,0.019615,0.29,58,19917
meta-llama/Llama-3.1-8B-Instruct,19,english,27314,21.3,0.020577,72.9,19911,27314
meta-llama/Llama-3.1-8B-Instruct,19,spanish,32901,25.65,0.020413,1.56,513,32901
meta-llama/Llama-3.1-8B-Instruct,19,chinese,18225,14.21,0.019587,2.3,419,18225
meta-llama/Llama-3.1-8B-Instruct,19,french,20885,16.28,0.019243,0.87,182,20885
meta-llama/Llama-3.1-8B-Instruct,19,german,28931,22.56,0.020286,0.35,101,28931
meta-llama/Llama-3.1-8B-Instruct,20,english,35235,27.47,0.020276,69.16,24369,35235
meta-llama/Llama-3.1-8B-Instruct,20,spanish,31426,24.5,0.019663,1.57,492,31426
meta-llama/Llama-3.1-8B-Instruct,20,chinese,18266,14.24,0.018516,2.24,409,18266
meta-llama/Llama-3.1-8B-Instruct,20,french,20953,16.34,0.018132,0.8,168,20953
meta-llama/Llama-3.1-8B-Instruct,20,german,22376,17.45,0.018613,0.24,53,22376
meta-llama/Llama-3.1-8B-Instruct,21,english,19249,15.01,0.018559,72.92,14036,19249
meta-llama/Llama-3.1-8B-Instruct,21,spanish,39058,30.45,0.019674,1.68,655,39058
meta-llama/Llama-3.1-8B-Instruct,21,chinese,15505,12.09,0.017989,2.15,334,15505
meta-llama/Llama-3.1-8B-Instruct,21,french,29164,22.74,0.019017,0.83,243,29164
meta-llama/Llama-3.1-8B-Instruct,21,german,25280,19.71,0.018516,0.32,81,25280
meta-llama/Llama-3.1-8B-Instruct,22,english,23945,18.67,0.020331,69.59,16663,23945
meta-llama/Llama-3.1-8B-Instruct,22,spanish,41181,32.11,0.021189,1.77,727,41181
meta-llama/Llama-3.1-8B-Instruct,22,chinese,14594,11.38,0.01866,2.01,294,14594
meta-llama/Llama-3.1-8B-Instruct,22,french,22306,17.39,0.019331,0.73,162,22306
meta-llama/Llama-3.1-8B-Instruct,22,german,26230,20.45,0.019582,0.27,72,26230
meta-llama/Llama-3.1-8B-Instruct,23,english,24430,19.05,0.0191,72.47,17705,24430
meta-llama/Llama-3.1-8B-Instruct,23,spanish,33062,25.78,0.019127,1.55,513,33062
meta-llama/Llama-3.1-8B-Instruct,23,chinese,18984,14.8,0.018128,2.5,475,18984
meta-llama/Llama-3.1-8B-Instruct,23,french,27793,21.67,0.018398,0.72,201,27793
meta-llama/Llama-3.1-8B-Instruct,23,german,23987,18.7,0.018163,0.25,61,23987
meta-llama/Llama-3.1-8B-Instruct,24,english,16342,12.74,0.018938,75.46,12331,16342
