model,layer,val_accuracy
meta-llama/Llama-3.1-8B-Instruct,0,20.0
meta-llama/Llama-3.1-8B-Instruct,1,99.82
meta-llama/Llama-3.1-8B-Instruct,2,99.82
meta-llama/Llama-3.1-8B-Instruct,3,99.78
meta-llama/Llama-3.1-8B-Instruct,4,99.86
meta-llama/Llama-3.1-8B-Instruct,5,99.8
meta-llama/Llama-3.1-8B-Instruct,6,99.38
meta-llama/Llama-3.1-8B-Instruct,7,98.34
meta-llama/Llama-3.1-8B-Instruct,8,96.98
meta-llama/Llama-3.1-8B-Instruct,9,97.1
meta-llama/Llama-3.1-8B-Instruct,10,98.5
meta-llama/Llama-3.1-8B-Instruct,11,97.7
meta-llama/Llama-3.1-8B-Instruct,12,97.32
meta-llama/Llama-3.1-8B-Instruct,13,96.88
meta-llama/Llama-3.1-8B-Instruct,14,97.36
meta-llama/Llama-3.1-8B-Instruct,15,97.4
meta-llama/Llama-3.1-8B-Instruct,16,97.82
meta-llama/Llama-3.1-8B-Instruct,17,98.7
meta-llama/Llama-3.1-8B-Instruct,18,98.6
meta-llama/Llama-3.1-8B-Instruct,19,99.0
meta-llama/Llama-3.1-8B-Instruct,20,98.94
meta-llama/Llama-3.1-8B-Instruct,21,98.96
meta-llama/Llama-3.1-8B-Instruct,22,98.7
meta-llama/Llama-3.1-8B-Instruct,23,98.66
meta-llama/Llama-3.1-8B-Instruct,24,98.96
meta-llama/Llama-3.1-8B-Instruct,25,99.2
meta-llama/Llama-3.1-8B-Instruct,26,99.12
meta-llama/Llama-3.1-8B-Instruct,27,99.14
meta-llama/Llama-3.1-8B-Instruct,28,98.98
meta-llama/Llama-3.1-8B-Instruct,29,99.2
meta-llama/Llama-3.1-8B-Instruct,30,99.38
meta-llama/Llama-3.1-8B-Instruct,31,99.82
Qwen/Qwen2.5-7B-Instruct,0,19.62
Qwen/Qwen2.5-7B-Instruct,1,98.86
Qwen/Qwen2.5-7B-Instruct,2,99.22
Qwen/Qwen2.5-7B-Instruct,3,99.82
Qwen/Qwen2.5-7B-Instruct,4,99.92
Qwen/Qwen2.5-7B-Instruct,5,99.94
Qwen/Qwen2.5-7B-Instruct,6,99.88
Qwen/Qwen2.5-7B-Instruct,7,99.94
Qwen/Qwen2.5-7B-Instruct,8,99.88
Qwen/Qwen2.5-7B-Instruct,9,99.82
Qwen/Qwen2.5-7B-Instruct,10,99.32
Qwen/Qwen2.5-7B-Instruct,11,98.84
Qwen/Qwen2.5-7B-Instruct,12,98.48
Qwen/Qwen2.5-7B-Instruct,13,98.14
Qwen/Qwen2.5-7B-Instruct,14,97.3
Qwen/Qwen2.5-7B-Instruct,15,96.84
Qwen/Qwen2.5-7B-Instruct,16,96.08
Qwen/Qwen2.5-7B-Instruct,17,96.3
Qwen/Qwen2.5-7B-Instruct,18,95.8
Qwen/Qwen2.5-7B-Instruct,19,94.86
Qwen/Qwen2.5-7B-Instruct,20,97.58
Qwen/Qwen2.5-7B-Instruct,21,96.86
Qwen/Qwen2.5-7B-Instruct,22,95.88
Qwen/Qwen2.5-7B-Instruct,23,95.44
Qwen/Qwen2.5-7B-Instruct,24,98.52
Qwen/Qwen2.5-7B-Instruct,25,99.1
Qwen/Qwen2.5-7B-Instruct,26,98.8
Qwen/Qwen2.5-7B-Instruct,27,98.84
Qwen/Qwen2.5-Math-7B-Instruct,0,17.16
Qwen/Qwen2.5-Math-7B-Instruct,1,92.4
Qwen/Qwen2.5-Math-7B-Instruct,2,98.22
Qwen/Qwen2.5-Math-7B-Instruct,3,99.26
Qwen/Qwen2.5-Math-7B-Instruct,4,99.42
Qwen/Qwen2.5-Math-7B-Instruct,5,99.7
Qwen/Qwen2.5-Math-7B-Instruct,6,99.4
Qwen/Qwen2.5-Math-7B-Instruct,7,99.4
Qwen/Qwen2.5-Math-7B-Instruct,8,98.96
Qwen/Qwen2.5-Math-7B-Instruct,9,98.68
Qwen/Qwen2.5-Math-7B-Instruct,10,97.8
Qwen/Qwen2.5-Math-7B-Instruct,11,98.16
Qwen/Qwen2.5-Math-7B-Instruct,12,94.26
Qwen/Qwen2.5-Math-7B-Instruct,13,96.02
Qwen/Qwen2.5-Math-7B-Instruct,14,95.24
Qwen/Qwen2.5-Math-7B-Instruct,15,94.46
Qwen/Qwen2.5-Math-7B-Instruct,16,91.34
Qwen/Qwen2.5-Math-7B-Instruct,17,89.74
Qwen/Qwen2.5-Math-7B-Instruct,18,88.46
Qwen/Qwen2.5-Math-7B-Instruct,19,91.26
